model,dataset,model_key,dataset_key,alpha,stc_mean,stc_p05,stc_p50,stc_p95,observed_stc,n,y_defer_rate,error_rate
Mistral,MedQA,mistral_7b,medqa,0.0,0.0058954426272816085,0.00021381670551155526,0.004928014297463281,0.013347167753418392,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.05,0.052456639935231995,0.04120021646888166,0.05222009524895373,0.06314560779779788,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.1,0.11121618539082376,0.1003363880384412,0.11146111818654449,0.122889917301938,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.15000000000000002,0.17569054980958432,0.16336254536195585,0.17657381773387842,0.18738399377788842,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.2,0.24904205045133254,0.23801671940012284,0.24913096441142313,0.26005647696026696,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.25,0.3326480148865253,0.3210380326071742,0.332802356100267,0.343329433450593,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.30000000000000004,0.42706457477120024,0.4171028559972984,0.427168587328287,0.43807312960352535,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.35000000000000003,0.536916094841004,0.5269870896939282,0.5374722264970404,0.5451368615001173,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.4,0.664951358560236,0.6563736778443447,0.6647617872868362,0.6734749359702235,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.45,0.8164406150916166,0.8105051888501098,0.8159574599877292,0.8232970557499082,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.5,0.9392626687923483,0.9392626687923478,0.9392626687923482,0.9392626687923485,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.55,0.9392626687923482,0.9392626687923478,0.9392626687923482,0.9392626687923487,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.6000000000000001,0.9392626687923483,0.9392626687923478,0.9392626687923482,0.9392626687923487,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.65,0.9392626687923483,0.9392626687923478,0.9392626687923482,0.9392626687923487,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.7000000000000001,0.9392626687923482,0.9392626687923478,0.9392626687923482,0.9392626687923487,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
Mistral,MedQA,mistral_7b,medqa,0.75,0.9392626687923482,0.9392626687923478,0.9392626687923482,0.9392626687923487,4.113969449285871e-06,19115,0.5011770860580695,0.5324614177347633
